Exercise_ID,Exercise_Name,Muscle_Group,Difficulty,Workout_Type,Equipment,Duration_Min,Calories_Burned_Per_Hour,Sets,Reps,Rest_Time_Sec,Recommended_Goal
1398,Cycling,Cardio,Intermediate,Strength,Dumbbells,68,519,2,25,65,Muscle Gain
1399,Running,Cardio,Beginner,HIIT,None,61,730,6,12,72,Maintenance
1400,Plank,Core,Intermediate,Cardio,Machine,23,695,1,14,157,Muscle Gain
1401,Plank,Core,Intermediate,Endurance,Dumbbells,31,360,3,22,178,Muscle Gain
1402,Tricep Pushdown,Triceps,Advanced,Flexibility,Resistance Band,28,820,6,9,132,Maintenance
1403,Lat Pulldown,Back,Beginner,HIIT,None,68,487,2,6,66,Endurance
1404,Deadlift,Full Body,Beginner,Endurance,Machine,82,693,2,18,134,Endurance
1405,Burpees,Full Body,Beginner,Cardio,Resistance Band,21,884,6,11,71,Weight Loss
1406,Lunges,Legs,Beginner,HIIT,Resistance Band,72,343,5,19,43,Weight Loss
1407,Swimming,Cardio,Advanced,Flexibility,Dumbbells,32,268,6,21,37,Muscle Gain
1408,Jump Rope,Cardio,Intermediate,HIIT,None,50,848,1,24,120,Maintenance
1409,Lat Pulldown,Back,Beginner,Endurance,Resistance Band,28,657,2,6,173,Maintenance
1410,Lateral Raises,Shoulders,Beginner,Cardio,Resistance Band,13,818,3,13,136,Weight Loss
1411,Crunches,Core,Beginner,Flexibility,Barbell,74,646,5,6,106,Endurance
1412,Shoulder Press,Shoulders,Beginner,Endurance,Machine,11,563,3,23,133,Endurance
1413,Squats,Legs,Advanced,Flexibility,Resistance Band,42,699,3,18,95,Muscle Gain
1414,Bench Press,Chest,Beginner,Strength,Dumbbells,31,759,1,25,115,Weight Loss
1415,Lat Pulldown,Back,Intermediate,HIIT,Dumbbells,12,544,3,15,122,Maintenance
1416,Bench Press,Chest,Advanced,Flexibility,None,28,720,3,15,109,Weight Loss
1417,Lat Pulldown,Back,Intermediate,Cardio,Barbell,21,491,1,6,163,Muscle Gain
1418,Walking,Cardio,Beginner,Strength,None,44,587,5,11,150,Muscle Gain
1419,Squats,Legs,Intermediate,Endurance,None,26,932,6,8,153,Maintenance
1420,Running,Cardio,Advanced,Flexibility,Resistance Band,21,513,2,13,139,Endurance
1421,Pull-Ups,Back,Advanced,Flexibility,Dumbbells,46,866,5,7,43,Endurance
1422,Deadlift,Full Body,Intermediate,Cardio,Barbell,61,988,2,15,87,Muscle Gain
1423,Lat Pulldown,Back,Beginner,HIIT,None,48,912,6,13,125,Weight Loss
1424,Deadlift,Full Body,Advanced,Flexibility,None,36,918,3,13,34,Maintenance
1425,Pull-Ups,Back,Beginner,Flexibility,None,69,971,6,23,83,Endurance
1426,Jump Rope,Cardio,Intermediate,HIIT,Dumbbells,75,742,6,18,153,Muscle Gain
1427,Deadlift,Full Body,Advanced,Strength,Dumbbells,46,825,1,12,78,Endurance
1428,Bench Press,Chest,Advanced,Flexibility,None,30,160,1,6,149,Endurance
1429,Push-Ups,Chest,Advanced,Flexibility,Barbell,70,606,1,18,56,Muscle Gain
1430,Bench Press,Chest,Beginner,HIIT,None,32,748,5,16,58,Muscle Gain
1431,Bench Press,Chest,Intermediate,HIIT,Barbell,62,428,2,21,167,Muscle Gain
1432,Crunches,Core,Intermediate,Strength,Machine,90,633,5,7,47,Weight Loss
1433,Crunches,Core,Beginner,Endurance,Resistance Band,29,982,2,7,60,Weight Loss
1434,Push-Ups,Chest,Beginner,Cardio,Dumbbells,87,262,1,25,67,Maintenance
1435,Crunches,Core,Advanced,HIIT,Dumbbells,40,999,4,13,68,Muscle Gain
1436,Tricep Pushdown,Triceps,Beginner,Cardio,Dumbbells,90,152,1,10,93,Maintenance
1437,Plank,Core,Beginner,Endurance,Machine,89,614,6,23,33,Muscle Gain
1438,Bench Press,Chest,Intermediate,HIIT,None,78,321,6,25,37,Muscle Gain
1439,Bicep Curls,Biceps,Advanced,HIIT,Dumbbells,77,447,2,12,90,Endurance
1440,Burpees,Full Body,Intermediate,HIIT,Barbell,65,857,3,13,102,Weight Loss
1441,Deadlift,Full Body,Intermediate,HIIT,Resistance Band,37,672,2,5,89,Weight Loss
1442,Bench Press,Chest,Intermediate,Endurance,Machine,30,546,5,6,89,Muscle Gain
1443,Swimming,Cardio,Advanced,Flexibility,Dumbbells,55,300,5,8,93,Maintenance
1444,Leg Press,Legs,Intermediate,Flexibility,Barbell,16,678,2,11,166,Endurance
1445,Cycling,Cardio,Intermediate,Cardio,Barbell,45,260,6,15,162,Endurance
1446,Lat Pulldown,Back,Intermediate,Strength,Resistance Band,63,377,3,7,129,Muscle Gain
1447,Pull-Ups,Back,Beginner,Cardio,Barbell,53,283,4,23,172,Endurance
1448,Bench Press,Chest,Beginner,Flexibility,Resistance Band,31,587,3,19,164,Weight Loss
1449,Squats,Legs,Beginner,HIIT,Dumbbells,88,182,6,6,154,Weight Loss
1450,Burpees,Full Body,Beginner,Flexibility,None,42,356,2,18,142,Endurance
1451,Cycling,Cardio,Beginner,Flexibility,Barbell,79,473,6,20,89,Muscle Gain
1452,Lat Pulldown,Back,Advanced,Strength,Barbell,12,154,3,9,178,Weight Loss
1453,Tricep Pushdown,Triceps,Advanced,Flexibility,Barbell,77,403,3,19,83,Muscle Gain
1454,Plank,Core,Advanced,Cardio,None,74,455,6,12,131,Maintenance
1455,Running,Cardio,Intermediate,Endurance,Machine,36,265,6,18,38,Muscle Gain
1456,Burpees,Full Body,Beginner,Flexibility,Barbell,50,314,2,21,172,Muscle Gain
1457,Bicep Curls,Biceps,Advanced,Cardio,Machine,19,907,4,22,168,Weight Loss
1458,Lat Pulldown,Back,Advanced,Strength,Resistance Band,89,185,6,16,150,Weight Loss
1459,Swimming,Cardio,Advanced,Cardio,Machine,36,154,5,5,38,Weight Loss
1460,Swimming,Cardio,Beginner,Strength,Dumbbells,30,444,6,10,115,Muscle Gain
1461,Plank,Core,Intermediate,Cardio,None,89,222,2,13,49,Muscle Gain
1462,Plank,Core,Advanced,Strength,Barbell,47,241,1,19,134,Endurance
1463,Swimming,Cardio,Intermediate,Strength,Barbell,89,448,6,14,59,Weight Loss
1464,Walking,Cardio,Intermediate,Endurance,Barbell,58,555,2,14,137,Muscle Gain
1465,Squats,Legs,Beginner,HIIT,Machine,16,900,1,22,116,Endurance
1466,Swimming,Cardio,Beginner,Flexibility,Resistance Band,49,601,6,6,107,Muscle Gain
1467,Bench Press,Chest,Beginner,HIIT,None,80,992,2,15,97,Weight Loss
1468,Leg Press,Legs,Advanced,Strength,Barbell,10,284,3,16,44,Endurance
1469,Leg Press,Legs,Beginner,Flexibility,None,84,358,4,6,43,Muscle Gain
1470,Deadlift,Full Body,Beginner,Strength,Machine,74,842,2,25,173,Weight Loss
1471,Lat Pulldown,Back,Intermediate,Cardio,Resistance Band,29,816,3,22,110,Maintenance
1472,Push-Ups,Chest,Intermediate,Strength,Resistance Band,32,826,1,15,164,Endurance
1473,Shoulder Press,Shoulders,Beginner,HIIT,None,53,421,2,15,137,Weight Loss
1474,Burpees,Full Body,Advanced,Cardio,Dumbbells,51,920,5,9,59,Muscle Gain
1475,Running,Cardio,Advanced,HIIT,None,88,320,3,11,129,Maintenance
1476,Plank,Core,Beginner,HIIT,Machine,67,547,1,9,148,Endurance
1477,Walking,Cardio,Intermediate,HIIT,Dumbbells,23,874,2,7,30,Weight Loss
1478,Swimming,Cardio,Intermediate,Flexibility,Barbell,90,564,6,25,138,Maintenance
1479,Pull-Ups,Back,Intermediate,Cardio,Dumbbells,58,757,4,6,124,Endurance
1480,Running,Cardio,Advanced,Flexibility,Machine,86,966,1,17,165,Weight Loss
1481,Walking,Cardio,Beginner,Endurance,None,85,219,6,10,60,Weight Loss
1482,Crunches,Core,Beginner,HIIT,None,49,224,1,12,145,Muscle Gain
1483,Walking,Cardio,Advanced,Endurance,None,64,425,6,23,49,Maintenance
1484,Bench Press,Chest,Advanced,Flexibility,Dumbbells,27,782,5,25,30,Muscle Gain
1485,Deadlift,Full Body,Advanced,Flexibility,Machine,39,404,4,15,32,Weight Loss
1486,Push-Ups,Chest,Intermediate,Flexibility,Machine,40,522,3,15,94,Weight Loss
1487,Push-Ups,Chest,Beginner,Endurance,Machine,67,323,1,6,159,Muscle Gain
1488,Running,Cardio,Intermediate,HIIT,Barbell,11,328,2,17,88,Weight Loss
1489,Lunges,Legs,Intermediate,HIIT,Dumbbells,67,386,6,23,174,Maintenance
1490,Leg Press,Legs,Intermediate,HIIT,Resistance Band,65,734,4,5,38,Weight Loss
1491,Running,Cardio,Intermediate,Endurance,None,17,792,3,11,119,Endurance
1492,Burpees,Full Body,Beginner,Flexibility,Machine,87,628,2,25,157,Muscle Gain
1493,Running,Cardio,Beginner,Strength,Barbell,74,557,1,12,63,Endurance
1494,Shoulder Press,Shoulders,Intermediate,HIIT,Barbell,60,425,3,23,42,Maintenance
1495,Leg Press,Legs,Advanced,Cardio,Dumbbells,30,265,3,7,80,Maintenance
1496,Walking,Cardio,Advanced,Strength,None,51,299,1,8,161,Weight Loss
1497,Burpees,Full Body,Beginner,Cardio,Resistance Band,34,385,3,24,159,Muscle Gain
1498,Lateral Raises,Shoulders,Beginner,Strength,Resistance Band,31,251,5,20,168,Maintenance
1499,Deadlift,Full Body,Advanced,Cardio,None,32,669,6,17,49,Endurance
1500,Bench Press,Chest,Intermediate,Strength,Dumbbells,89,426,4,16,61,Weight Loss
1501,Bench Press,Chest,Advanced,HIIT,Barbell,33,768,2,22,176,Muscle Gain
1502,Bicep Curls,Biceps,Intermediate,Cardio,Dumbbells,42,991,2,10,77,Endurance
1503,Burpees,Full Body,Beginner,Cardio,Dumbbells,38,683,2,19,147,Muscle Gain
1504,Burpees,Full Body,Beginner,Strength,Resistance Band,87,205,4,21,149,Muscle Gain
1505,Cycling,Cardio,Beginner,Endurance,None,67,479,1,7,157,Muscle Gain
1506,Squats,Legs,Intermediate,Cardio,Barbell,77,324,1,23,31,Weight Loss
1507,Squats,Legs,Beginner,Flexibility,Dumbbells,42,169,5,15,93,Weight Loss
1508,Lat Pulldown,Back,Beginner,HIIT,Dumbbells,52,961,4,20,164,Maintenance
1509,Cycling,Cardio,Beginner,HIIT,None,18,183,1,12,110,Weight Loss
1510,Push-Ups,Chest,Advanced,Strength,Resistance Band,11,995,2,12,42,Maintenance
1511,Lunges,Legs,Intermediate,Endurance,Barbell,80,775,6,18,117,Muscle Gain
1512,Leg Press,Legs,Beginner,Cardio,Resistance Band,25,813,1,14,62,Weight Loss
1513,Deadlift,Full Body,Advanced,HIIT,Resistance Band,33,220,3,22,59,Weight Loss
1514,Shoulder Press,Shoulders,Intermediate,Strength,Machine,67,617,3,14,77,Endurance
1515,Jump Rope,Cardio,Beginner,Cardio,None,31,663,6,13,147,Endurance
1516,Bench Press,Chest,Intermediate,Endurance,Dumbbells,86,343,4,15,84,Maintenance
1517,Lat Pulldown,Back,Advanced,HIIT,Barbell,30,711,3,20,115,Weight Loss
1518,Tricep Pushdown,Triceps,Advanced,Flexibility,Barbell,69,888,5,10,152,Muscle Gain
1519,Leg Press,Legs,Advanced,Strength,Barbell,12,525,6,5,133,Endurance
1520,Plank,Core,Intermediate,Flexibility,Resistance Band,86,596,1,20,161,Weight Loss
1521,Squats,Legs,Advanced,Endurance,Barbell,75,482,3,7,71,Muscle Gain
1522,Bicep Curls,Biceps,Intermediate,Cardio,Dumbbells,34,193,3,21,72,Weight Loss
1523,Swimming,Cardio,Beginner,Flexibility,Barbell,84,713,3,12,107,Weight Loss
1524,Shoulder Press,Shoulders,Advanced,Endurance,Dumbbells,56,323,4,9,146,Endurance
1525,Swimming,Cardio,Intermediate,HIIT,Machine,65,654,5,11,108,Weight Loss
1526,Lateral Raises,Shoulders,Beginner,Strength,Barbell,67,448,1,25,94,Weight Loss
1527,Crunches,Core,Beginner,Endurance,Resistance Band,81,397,3,25,44,Muscle Gain
1528,Burpees,Full Body,Advanced,Cardio,Dumbbells,70,465,5,12,100,Weight Loss
1529,Pull-Ups,Back,Advanced,Cardio,None,87,389,3,11,151,Endurance
1530,Cycling,Cardio,Advanced,Flexibility,Resistance Band,35,413,5,11,63,Endurance
1531,Cycling,Cardio,Intermediate,Endurance,None,39,239,6,6,100,Weight Loss
1532,Squats,Legs,Intermediate,Cardio,Dumbbells,29,833,3,15,114,Muscle Gain
1533,Tricep Pushdown,Triceps,Advanced,Strength,Resistance Band,30,877,1,10,128,Weight Loss
1534,Lateral Raises,Shoulders,Advanced,HIIT,None,56,837,2,19,130,Muscle Gain
1535,Lat Pulldown,Back,Advanced,Endurance,Dumbbells,43,212,6,5,36,Muscle Gain
1536,Shoulder Press,Shoulders,Advanced,Cardio,Resistance Band,70,996,3,15,171,Weight Loss
1537,Leg Press,Legs,Advanced,Strength,Dumbbells,74,335,5,7,32,Muscle Gain
1538,Bench Press,Chest,Intermediate,HIIT,Dumbbells,27,693,4,14,52,Endurance
1539,Bench Press,Chest,Intermediate,Cardio,Resistance Band,73,804,4,14,173,Endurance
1540,Running,Cardio,Beginner,Endurance,Dumbbells,38,314,4,24,160,Muscle Gain
1541,Bench Press,Chest,Advanced,HIIT,Barbell,70,206,1,24,80,Endurance
1542,Running,Cardio,Advanced,Strength,None,18,542,5,21,50,Muscle Gain
1543,Deadlift,Full Body,Intermediate,Cardio,None,42,207,5,5,92,Endurance
1544,Lat Pulldown,Back,Intermediate,Endurance,Resistance Band,11,479,2,6,153,Endurance
1545,Leg Press,Legs,Beginner,Endurance,Barbell,50,539,5,9,159,Muscle Gain
1546,Pull-Ups,Back,Intermediate,Strength,Dumbbells,27,781,5,13,90,Endurance
1547,Squats,Legs,Advanced,Endurance,Barbell,50,432,6,19,93,Muscle Gain
1548,Push-Ups,Chest,Intermediate,Strength,Dumbbells,63,499,1,18,146,Maintenance
1549,Lat Pulldown,Back,Beginner,Endurance,Resistance Band,61,312,1,11,95,Muscle Gain
1550,Bicep Curls,Biceps,Intermediate,Flexibility,Barbell,79,591,5,21,167,Endurance
1551,Plank,Core,Advanced,Strength,Dumbbells,20,632,3,20,168,Weight Loss
1552,Push-Ups,Chest,Intermediate,Cardio,Machine,83,876,5,11,155,Weight Loss
1553,Plank,Core,Beginner,Flexibility,Dumbbells,14,241,6,19,128,Muscle Gain
1554,Lunges,Legs,Beginner,Endurance,Barbell,65,760,6,10,80,Muscle Gain
1555,Plank,Core,Intermediate,Strength,None,74,272,4,10,156,Muscle Gain
1556,Walking,Cardio,Intermediate,Flexibility,Dumbbells,47,528,1,7,102,Endurance
1557,Lunges,Legs,Advanced,Endurance,Dumbbells,45,333,2,25,118,Muscle Gain
1558,Lunges,Legs,Beginner,Strength,Dumbbells,58,695,5,25,97,Maintenance
1559,Jump Rope,Cardio,Advanced,Strength,Resistance Band,45,169,6,19,88,Weight Loss
1560,Plank,Core,Intermediate,Flexibility,None,69,264,1,23,158,Endurance
1561,Swimming,Cardio,Intermediate,HIIT,Barbell,48,926,3,8,84,Maintenance
1562,Squats,Legs,Beginner,HIIT,Dumbbells,47,672,3,23,169,Maintenance
1563,Push-Ups,Chest,Intermediate,Strength,None,70,918,6,23,144,Maintenance
1564,Pull-Ups,Back,Beginner,Strength,Resistance Band,18,590,5,5,161,Endurance
1565,Plank,Core,Intermediate,Endurance,None,63,198,2,25,120,Muscle Gain
1566,Squats,Legs,Advanced,HIIT,None,57,967,2,10,78,Muscle Gain
1567,Leg Press,Legs,Advanced,Cardio,Machine,52,181,5,18,141,Weight Loss
1568,Lat Pulldown,Back,Intermediate,Endurance,Barbell,38,356,5,16,95,Endurance
1569,Bench Press,Chest,Intermediate,Endurance,None,71,528,6,17,124,Muscle Gain
1570,Plank,Core,Intermediate,Flexibility,Dumbbells,20,266,5,7,156,Muscle Gain
1571,Walking,Cardio,Beginner,Endurance,None,17,586,1,18,92,Muscle Gain
1572,Lateral Raises,Shoulders,Beginner,Endurance,Dumbbells,40,660,1,20,105,Maintenance
1573,Crunches,Core,Advanced,Strength,Machine,28,348,2,7,180,Endurance
1574,Pull-Ups,Back,Advanced,HIIT,Dumbbells,28,501,1,8,133,Endurance
1575,Tricep Pushdown,Triceps,Beginner,Cardio,Barbell,34,752,4,11,70,Muscle Gain
1576,Leg Press,Legs,Advanced,HIIT,Machine,17,158,6,8,69,Endurance
1577,Squats,Legs,Intermediate,Strength,Barbell,28,538,6,12,172,Endurance
1578,Bicep Curls,Biceps,Advanced,HIIT,None,64,811,1,19,100,Weight Loss
1579,Crunches,Core,Beginner,Flexibility,Resistance Band,85,204,4,10,87,Weight Loss
1580,Bench Press,Chest,Advanced,HIIT,None,12,439,2,16,93,Endurance
1581,Bench Press,Chest,Intermediate,Flexibility,Resistance Band,61,939,2,20,82,Muscle Gain
1582,Crunches,Core,Advanced,Flexibility,Machine,30,551,5,16,151,Maintenance
1583,Cycling,Cardio,Advanced,HIIT,Machine,36,711,1,24,100,Maintenance
1584,Walking,Cardio,Beginner,Strength,Resistance Band,63,826,1,15,31,Maintenance
1585,Squats,Legs,Advanced,Flexibility,Resistance Band,18,851,2,23,75,Weight Loss
1586,Cycling,Cardio,Beginner,Flexibility,Resistance Band,65,351,5,10,122,Muscle Gain
1587,Jump Rope,Cardio,Beginner,HIIT,Machine,75,189,5,9,146,Weight Loss
1588,Deadlift,Full Body,Intermediate,Flexibility,Dumbbells,79,150,4,11,35,Endurance
1589,Burpees,Full Body,Advanced,HIIT,Machine,85,350,4,16,115,Maintenance
1590,Swimming,Cardio,Advanced,Cardio,Resistance Band,54,377,4,15,125,Weight Loss
1591,Burpees,Full Body,Intermediate,HIIT,None,66,721,3,18,161,Endurance
1592,Plank,Core,Beginner,Cardio,Resistance Band,55,395,5,20,125,Maintenance
1593,Squats,Legs,Intermediate,HIIT,Resistance Band,17,959,3,7,132,Endurance
1594,Plank,Core,Intermediate,Strength,Resistance Band,57,772,4,11,179,Endurance
1595,Bench Press,Chest,Beginner,Strength,None,51,684,6,19,42,Muscle Gain
1596,Deadlift,Full Body,Advanced,Endurance,Resistance Band,51,814,4,22,54,Weight Loss
1597,Running,Cardio,Advanced,Strength,Resistance Band,30,244,3,23,58,Weight Loss
1598,Cycling,Cardio,Advanced,Strength,None,39,678,2,20,165,Maintenance
1599,Lat Pulldown,Back,Advanced,Cardio,None,77,177,4,19,168,Muscle Gain
1600,Deadlift,Full Body,Advanced,Flexibility,None,62,973,2,22,75,Weight Loss
1601,Deadlift,Full Body,Beginner,Flexibility,None,32,634,1,19,126,Muscle Gain
1602,Lat Pulldown,Back,Intermediate,Strength,Dumbbells,51,826,2,5,158,Muscle Gain
1603,Lat Pulldown,Back,Beginner,Cardio,Machine,30,926,2,12,39,Maintenance
1604,Push-Ups,Chest,Intermediate,Flexibility,None,30,751,2,8,65,Weight Loss
1605,Burpees,Full Body,Beginner,HIIT,Dumbbells,27,825,1,22,178,Weight Loss
1606,Swimming,Cardio,Advanced,Flexibility,Resistance Band,78,753,2,18,132,Maintenance
1607,Lat Pulldown,Back,Beginner,Flexibility,Dumbbells,21,428,1,7,50,Muscle Gain
1608,Lat Pulldown,Back,Beginner,HIIT,Resistance Band,11,462,4,14,115,Muscle Gain
1609,Burpees,Full Body,Advanced,Strength,Dumbbells,61,725,6,18,30,Endurance
1610,Squats,Legs,Advanced,Endurance,Machine,41,488,1,8,38,Endurance
1611,Walking,Cardio,Intermediate,Strength,Barbell,42,721,1,21,78,Maintenance
1612,Swimming,Cardio,Intermediate,Cardio,Barbell,80,639,1,13,61,Muscle Gain
1613,Push-Ups,Chest,Beginner,Flexibility,Dumbbells,51,692,6,13,98,Endurance
1614,Deadlift,Full Body,Beginner,Strength,Barbell,57,227,4,15,41,Weight Loss
1615,Deadlift,Full Body,Beginner,HIIT,Resistance Band,42,322,6,22,91,Weight Loss
1616,Jump Rope,Cardio,Intermediate,HIIT,Machine,51,616,6,18,110,Weight Loss
1617,Crunches,Core,Intermediate,Endurance,Resistance Band,16,365,5,22,122,Maintenance
1618,Leg Press,Legs,Advanced,Strength,Dumbbells,49,749,3,23,120,Weight Loss
1619,Squats,Legs,Intermediate,HIIT,Dumbbells,66,728,4,21,158,Endurance
1620,Leg Press,Legs,Beginner,Strength,Barbell,81,963,5,21,132,Weight Loss
1621,Tricep Pushdown,Triceps,Beginner,Endurance,Dumbbells,54,756,2,11,61,Weight Loss
1622,Tricep Pushdown,Triceps,Advanced,Strength,Barbell,43,202,3,10,175,Weight Loss
1623,Push-Ups,Chest,Intermediate,HIIT,Dumbbells,30,174,6,21,95,Weight Loss
1624,Lat Pulldown,Back,Intermediate,Cardio,Machine,37,548,2,23,136,Endurance
1625,Lateral Raises,Shoulders,Beginner,Endurance,Resistance Band,57,392,5,8,115,Endurance
1626,Leg Press,Legs,Beginner,Endurance,None,59,836,4,6,58,Endurance
1627,Bench Press,Chest,Intermediate,HIIT,Machine,64,340,1,9,31,Muscle Gain
1628,Cycling,Cardio,Beginner,Flexibility,Resistance Band,36,776,5,25,169,Muscle Gain
1629,Jump Rope,Cardio,Advanced,Strength,Barbell,22,970,2,24,177,Maintenance
1630,Leg Press,Legs,Intermediate,HIIT,Dumbbells,46,357,5,24,83,Muscle Gain
1631,Swimming,Cardio,Intermediate,Strength,Machine,40,382,1,8,163,Maintenance
1632,Jump Rope,Cardio,Beginner,Endurance,Barbell,60,915,3,25,70,Weight Loss
1633,Push-Ups,Chest,Intermediate,HIIT,Resistance Band,14,708,3,9,118,Maintenance
1634,Bicep Curls,Biceps,Advanced,Endurance,Barbell,54,172,6,17,110,Muscle Gain
1635,Bicep Curls,Biceps,Intermediate,Flexibility,Resistance Band,17,175,6,17,125,Weight Loss
1636,Running,Cardio,Intermediate,Endurance,Resistance Band,58,703,3,7,78,Endurance
1637,Plank,Core,Intermediate,Strength,Resistance Band,30,290,2,6,149,Weight Loss
1638,Plank,Core,Intermediate,Endurance,Machine,71,519,4,8,158,Maintenance
1639,Swimming,Cardio,Beginner,HIIT,Dumbbells,45,459,6,7,62,Weight Loss
1640,Tricep Pushdown,Triceps,Beginner,HIIT,Barbell,85,598,5,17,86,Endurance
1641,Running,Cardio,Intermediate,Cardio,Barbell,64,183,3,9,166,Maintenance
1642,Push-Ups,Chest,Advanced,Cardio,Dumbbells,72,601,1,18,58,Muscle Gain
1643,Burpees,Full Body,Advanced,Strength,None,35,955,3,17,81,Muscle Gain
1644,Swimming,Cardio,Intermediate,Strength,Machine,90,689,5,22,121,Muscle Gain
1645,Leg Press,Legs,Advanced,Endurance,Machine,31,272,5,12,44,Muscle Gain
1646,Pull-Ups,Back,Advanced,HIIT,Resistance Band,14,937,1,15,77,Endurance
1647,Bench Press,Chest,Advanced,Endurance,Dumbbells,14,464,5,16,63,Muscle Gain
1648,Plank,Core,Advanced,HIIT,Dumbbells,27,233,2,20,66,Maintenance
1649,Running,Cardio,Advanced,HIIT,Barbell,23,277,6,7,81,Endurance
1650,Deadlift,Full Body,Beginner,Strength,Barbell,42,929,5,9,51,Weight Loss
1651,Bench Press,Chest,Beginner,Cardio,None,44,342,5,6,104,Weight Loss
1652,Jump Rope,Cardio,Intermediate,HIIT,Machine,39,818,3,21,76,Weight Loss
1653,Crunches,Core,Advanced,Strength,Barbell,30,201,2,24,84,Maintenance
1654,Cycling,Cardio,Beginner,Cardio,None,12,626,5,22,107,Maintenance
1655,Lat Pulldown,Back,Advanced,Cardio,None,18,455,3,11,60,Muscle Gain
1656,Pull-Ups,Back,Advanced,Endurance,Resistance Band,70,883,5,24,138,Endurance
1657,Lunges,Legs,Advanced,HIIT,None,66,789,4,23,93,Endurance
1658,Lat Pulldown,Back,Intermediate,Flexibility,None,48,152,3,20,104,Maintenance
1659,Leg Press,Legs,Advanced,Strength,Barbell,62,283,3,13,119,Muscle Gain
1660,Walking,Cardio,Intermediate,HIIT,Dumbbells,59,315,6,8,47,Maintenance
1661,Walking,Cardio,Advanced,Flexibility,Machine,74,918,5,23,162,Muscle Gain
1662,Lunges,Legs,Advanced,Endurance,None,78,925,5,25,158,Endurance
1663,Plank,Core,Advanced,Strength,Machine,38,516,6,20,157,Maintenance
1664,Running,Cardio,Beginner,Flexibility,Dumbbells,40,189,5,10,99,Maintenance
1665,Bench Press,Chest,Beginner,Endurance,Resistance Band,32,922,1,11,151,Weight Loss
1666,Lunges,Legs,Intermediate,Flexibility,Machine,15,418,1,23,113,Muscle Gain
1667,Squats,Legs,Beginner,Flexibility,Machine,66,813,6,25,135,Muscle Gain
1668,Swimming,Cardio,Advanced,Strength,Machine,89,511,1,15,42,Muscle Gain
1669,Lunges,Legs,Advanced,HIIT,None,74,890,3,11,51,Muscle Gain
1670,Tricep Pushdown,Triceps,Beginner,Cardio,None,56,345,2,18,172,Muscle Gain
1671,Bicep Curls,Biceps,Intermediate,Endurance,None,17,625,4,21,54,Endurance
1672,Jump Rope,Cardio,Intermediate,Strength,Resistance Band,32,750,1,11,157,Endurance
1673,Tricep Pushdown,Triceps,Beginner,HIIT,Resistance Band,28,957,2,12,73,Muscle Gain
1674,Deadlift,Full Body,Advanced,HIIT,Machine,21,754,3,22,175,Maintenance
1675,Crunches,Core,Beginner,Flexibility,Resistance Band,63,857,4,15,127,Weight Loss
1676,Running,Cardio,Intermediate,Cardio,None,72,212,4,19,126,Endurance
1677,Bicep Curls,Biceps,Advanced,Strength,Barbell,82,722,3,9,70,Muscle Gain
1678,Lateral Raises,Shoulders,Beginner,Cardio,Barbell,18,722,5,6,59,Maintenance
1679,Plank,Core,Intermediate,Cardio,Dumbbells,32,725,1,9,89,Muscle Gain
1680,Running,Cardio,Intermediate,HIIT,Dumbbells,35,362,4,18,106,Weight Loss
1681,Walking,Cardio,Intermediate,Endurance,Barbell,79,665,1,5,129,Endurance
1682,Plank,Core,Intermediate,Strength,Machine,87,354,5,10,126,Maintenance
1683,Lunges,Legs,Advanced,Cardio,Resistance Band,87,586,3,15,52,Muscle Gain
1684,Walking,Cardio,Beginner,Endurance,None,10,402,3,23,178,Muscle Gain
1685,Bicep Curls,Biceps,Advanced,Cardio,Barbell,42,559,3,16,60,Endurance
1686,Squats,Legs,Intermediate,Cardio,Dumbbells,44,412,2,15,103,Endurance
1687,Pull-Ups,Back,Advanced,Flexibility,Resistance Band,33,746,3,12,98,Muscle Gain
1688,Push-Ups,Chest,Beginner,Cardio,Machine,86,686,4,25,118,Maintenance
1689,Cycling,Cardio,Advanced,HIIT,Machine,51,356,5,22,118,Weight Loss
1690,Crunches,Core,Advanced,Flexibility,Machine,50,433,5,11,81,Maintenance
1691,Jump Rope,Cardio,Intermediate,Cardio,Machine,13,935,2,22,153,Maintenance
1692,Lunges,Legs,Beginner,HIIT,Resistance Band,56,897,4,8,157,Muscle Gain
1693,Lat Pulldown,Back,Intermediate,Cardio,Machine,48,291,3,10,176,Maintenance
1694,Burpees,Full Body,Advanced,Strength,Machine,16,548,2,14,83,Weight Loss
1695,Lat Pulldown,Back,Beginner,Strength,Resistance Band,64,737,5,22,37,Maintenance
1696,Jump Rope,Cardio,Intermediate,Strength,Dumbbells,45,300,5,16,50,Muscle Gain
1697,Bicep Curls,Biceps,Advanced,HIIT,Dumbbells,87,515,4,7,50,Weight Loss
1698,Push-Ups,Chest,Beginner,Cardio,Dumbbells,48,698,2,19,110,Weight Loss
1699,Bicep Curls,Biceps,Advanced,Strength,Barbell,81,478,2,20,112,Muscle Gain
1700,Squats,Legs,Beginner,HIIT,Barbell,16,851,1,22,73,Muscle Gain
1701,Squats,Legs,Intermediate,Strength,Resistance Band,83,719,1,8,101,Endurance
1702,Swimming,Cardio,Beginner,Strength,None,77,513,2,25,46,Endurance
1703,Walking,Cardio,Intermediate,HIIT,None,22,538,5,17,88,Weight Loss
1704,Lunges,Legs,Beginner,Endurance,Dumbbells,56,383,3,24,61,Weight Loss
